,num,mb_sex,mb_birth,mb_4,mb_6,태그-직장,태그-결혼여부
17850,8647,F,20040624,기타,미혼,A04-00,A06-01
17851,9521,M,20040624,기타,미혼,A04-00,A06-01
17852,8384,M,20040625,기타,미혼,A04-00,A06-01
17853,9146,F,20040625,기타,,A04-00,A06-00
17854,10664,F,20040625,기타,,A04-00,A06-00
17855,10737,M,20040625,기타,,A04-00,A06-00
17856,5059,M,20040626,False,,A04-00,A06-00
17857,8105,M,20040626,기타,미혼,A04-00,A06-01
17858,9549,M,20040626,기타,,A04-00,A06-00
17859,9937,M,20040626,기타,,A04-00,A06-00
17860,11735,F,20040626,기타,미혼,A04-00,A06-01
17861,13989,M,20040626,기타,미혼,A04-00,A06-01
17862,14088,M,20040626,기타,미혼,A04-00,A06-01
17863,25807,F,20040626,기타,미혼,A04-00,A06-01
17864,27028,M,20040626,기타,미혼,A04-00,A06-01
17865,27029,M,20040626,기타,미혼,A04-00,A06-01
17866,27030,M,20040626,기타,미혼,A04-00,A06-01
17867,28519,M,20040626,기타,미혼,A04-00,A06-01
17868,7167,M,20040627,기타,미혼,A04-00,A06-01
17869,10216,M,20040627,기타,미혼,A04-00,A06-01
17870,6877,M,20040628,기타,미혼,A04-00,A06-01
17871,26373,M,20040628,기타,미혼,A04-00,A06-01
17872,5116,M,20040629,기타,미혼,A04-00,A06-01
17873,5481,M,20040629,False,,A04-00,A06-00
17874,8369,M,20040629,기타,미혼,A04-00,A06-01
17875,9952,M,20040629,기타,미혼,A04-00,A06-01
17876,20908,M,20040629,False,,A04-00,A06-00
17877,14497,F,20040630,기타,미혼,A04-00,A06-01
17878,15144,M,20040630,기타,미혼,A04-00,A06-01
17879,16701,F,20040630,기타,미혼,A04-00,A06-01
17880,11409,F,20040701,기타,미혼,A04-00,A06-01
17881,14203,F,20040701,False,,A04-00,A06-00
17882,26288,F,20040701,기타,미혼,A04-00,A06-01
17883,6063,M,20040702,기타,,A04-00,A06-00
17884,9924,M,20040702,기타,미혼,A04-00,A06-01
17885,20101,F,20040702,"프리랜서,기타",미혼,A04-07,A06-01
17886,21923,F,20040702,근로자,미혼,A04-03,A06-01
17887,24223,M,20040702,기타,미혼,A04-00,A06-01
17888,5458,M,20040703,False,,A04-00,A06-00
17889,7054,M,20040703,기타,,A04-00,A06-00
17890,8901,M,20040703,기타,미혼,A04-00,A06-01
17891,14122,M,20040703,기타,미혼,A04-00,A06-01
17892,18612,M,20040703,기타,,A04-00,A06-00
17893,22701,M,20040703,기타,미혼,A04-00,A06-01
17894,28371,M,20040703,기타,미혼,A04-00,A06-01
17895,16590,M,20040704,기타,미혼,A04-00,A06-01
17896,7090,M,20040705,False,,A04-00,A06-00
